Area,Cod_reg,Regione,Popolazione >30,Numero decessi osservati,Decessi attribuilbili all'inquinante,Tasso di mortalità attribuibile all'inquinante (per 100.000),Etichetta,Inquinante,Anno,Scenario
Sud e Isole,16,Puglia,2.608.398,31.354,5,0,Mortalità per cause naturali,NO2,2020,target 2
Sud e Isole,17,Basilicata,392.088,5.249,0,0,Mortalità per cause naturali,NO2,2020,target 2
Sud e Isole,18,Calabria,1.277.737,16.449,0,0,Mortalità per cause naturali,NO2,2020,target 2
Sud e Isole,19,Sicilia,3.204.855,43.906,12,0,Mortalità per cause naturali,NO2,2020,target 2
Sud e Isole,20,Sardegna,1.120.241,12.912,0,0,Mortalità per cause naturali,NO2,2020,target 2
Nord,1,Piemonte,3.112.573,3.314,151,5,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,2,Valle d'Aosta,86.055,103,2,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,3,Lombardia,6.585.442,5.490,284,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,4,Trentino-Alto Adige,658.377,617,21,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,5,Veneto,3.288.117,2.636,144,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,6,Friuli Venezia Giulia,882.860,944,50,6,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,7,Liguria,1.192.075,1.298,85,7,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,8,Emilia-Romagna,3.041.524,2.941,161,5,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Centro,9,Toscana,2.606.350,2.588,149,6,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Centro,10,Umbria,614.190,600,27,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Centro,11,Marche,1.050.407,965,51,5,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Centro,12,Lazio,3.684.035,2.854,152,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Centro,13,Abruzzo,903.549,928,42,5,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,14,Molise,218.985,202,8,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,15,Campania,3.549.631,2.881,153,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,16,Puglia,2.608.398,2.363,118,5,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,17,Basilicata,392.088,365,13,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,18,Calabria,1.277.737,1.136,53,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,19,Sicilia,3.204.855,2.879,148,5,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,20,Sardegna,1.120.241,939,45,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,1,Piemonte,3.112.573,3.314,109,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,2,Valle d'Aosta,86.055,103,2,2,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,3,Lombardia,6.585.442,5.490,254,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,4,Trentino-Alto Adige,658.377,617,13,2,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,5,Veneto,3.288.117,2.636,107,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,6,Friuli Venezia Giulia,882.860,944,31,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,7,Liguria,1.192.075,1.298,49,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,8,Emilia-Romagna,3.041.524,2.941,120,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Centro,9,Toscana,2.606.350,2.588,100,4,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Centro,10,Umbria,614.190,600,17,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Centro,11,Marche,1.050.407,965,33,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Centro,12,Lazio,3.684.035,2.854,120,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Centro,13,Abruzzo,903.549,928,26,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,14,Molise,218.985,202,5,2,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,15,Campania,3.549.631,2.881,79,2,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,16,Puglia,2.608.398,2.363,85,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,17,Basilicata,392.088,365,8,2,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,18,Calabria,1.277.737,1.136,33,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,19,Sicilia,3.204.855,2.879,100,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,20,Sardegna,1.120.241,939,30,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,1,Piemonte,3.112.573,44.775,126,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,2,Valle d'Aosta,86.055,1.181,2,2,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,3,Lombardia,6.585.442,79.792,188,3,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,4,Trentino-Alto Adige,658.377,7.754,24,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,5,Veneto,3.288.117,39.875,168,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,6,Friuli Venezia Giulia,882.860,12.978,63,7,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,7,Liguria,1.192.075,19.858,135,11,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,8,Emilia-Romagna,3.041.524,43.305,153,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Centro,9,Toscana,2.606.350,37.731,232,9,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Centro,10,Umbria,614.190,8.942,46,8,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Centro,11,Marche,1.050.407,14.345,77,7,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Centro,12,Lazio,3.684.035,46.385,250,7,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Centro,13,Abruzzo,903.549,12.354,59,7,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,14,Molise,218.985,3.176,16,7,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,15,Campania,3.549.631,44.873,276,8,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,16,Puglia,2.608.398,31.354,198,8,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,17,Basilicata,392.088,5.249,25,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,18,Calabria,1.277.737,16.449,109,9,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,19,Sicilia,3.204.855,43.906,319,10,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Sud e Isole,20,Sardegna,1.120.241,12.912,86,8,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2010,baseline
Nord,1,Piemonte,3.112.573,44.775,144,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,2,Valle d'Aosta,86.055,1.181,3,3,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,3,Lombardia,6.585.442,79.792,272,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,4,Trentino-Alto Adige,658.377,7.754,15,2,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,5,Veneto,3.288.117,39.875,128,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,6,Friuli Venezia Giulia,882.860,12.978,30,3,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,7,Liguria,1.192.075,19.858,90,8,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Nord,8,Emilia-Romagna,3.041.524,43.305,134,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Centro,9,Toscana,2.606.350,37.731,159,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Centro,10,Umbria,614.190,8.942,27,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Centro,11,Marche,1.050.407,14.345,49,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Centro,12,Lazio,3.684.035,46.385,200,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Centro,13,Abruzzo,903.549,12.354,38,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,14,Molise,218.985,3.176,11,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,15,Campania,3.549.631,44.873,116,3,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,16,Puglia,2.608.398,31.354,141,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,17,Basilicata,392.088,5.249,15,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,18,Calabria,1.277.737,16.449,70,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,19,Sicilia,3.204.855,43.906,221,7,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
Sud e Isole,20,Sardegna,1.120.241,12.912,61,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2020,cle
